iter	Passed	Remaining
465	720	825
466	721	822
467	721	820
468	722	818
469	723	816
470	724	813
471	725	811
472	726	809
473	727	807
474	728	805
475	729	802
476	730	800
477	730	798
478	731	795
479	732	793
480	733	791
481	734	789
482	735	786
483	736	784
484	736	782
485	737	780
486	738	778
487	739	775
488	740	773
489	741	771
490	742	769
491	743	767
492	744	765
493	745	763
494	746	761
495	746	758
496	747	756
497	748	754
498	749	752
499	750	750
500	751	748
501	752	746
502	752	743
503	753	741
504	754	739
505	755	737
506	756	735
507	757	733
508	758	731
509	759	729
510	760	728
511	761	725
512	762	724
513	763	721
514	764	719
515	765	717
516	766	715
517	766	713
518	767	711
519	768	709
520	769	707
521	770	705
522	771	703
523	772	701
524	773	699
525	774	697
526	775	695
527	775	693
528	776	691
529	777	689
530	778	687
531	779	685
532	780	683
533	781	681
534	781	679
535	782	677
536	783	675
537	784	673
538	786	672
539	787	670
540	788	668
541	789	667
542	791	665
543	792	664
544	793	662
545	794	660
546	795	658
547	796	656
548	797	654
549	797	652
550	798	650
551	799	649
552	800	647
553	801	645
554	802	643
555	803	641
556	804	639
557	805	637
558	806	636
559	807	634
560	807	632
561	808	630
562	809	628
563	810	626
564	811	624
565	812	622
566	812	620
567	813	618
568	814	617
569	816	615
570	817	613
571	817	611
572	818	610
573	819	608
574	820	606
575	821	604
576	822	602
577	822	600
578	823	599
579	824	597
580	825	595
581	826	593
582	827	591
583	828	589
584	829	588
585	830	586
586	831	584
587	832	583
588	832	581
589	833	579
590	834	577
591	835	575
592	836	574
593	837	572
594	838	570
595	838	568
596	839	566
597	840	565
598	841	563
599	842	561
600	843	560
601	845	558
602	846	557
603	847	555
604	848	553
605	849	552
606	850	550
607	851	548
608	852	547
609	853	545
610	854	543
611	855	542
612	856	540
613	857	538
614	857	537
615	858	535
616	860	533
617	860	532
618	861	530
619	862	528
620	863	527
621	864	525
622	865	523
623	866	521
624	867	520
625	868	518
626	868	516
627	869	515
628	870	513
629	871	511
630	872	510
631	873	508
632	874	506
633	875	505
634	876	503
635	877	501
636	877	500
637	878	498
638	879	496
639	880	495
640	881	493
641	882	491
642	883	490
643	884	488
644	884	487
645	885	485
646	886	483
647	887	482
648	888	480
649	889	478
650	890	477
651	891	475
652	892	474
653	893	472
654	893	470
655	894	469
656	895	467
657	896	465
658	897	464
659	898	462
660	898	461
661	899	459
662	900	457
663	901	456
664	902	454
665	903	453
666	904	451
667	905	450
668	906	448
669	907	446
670	908	445
671	909	443
672	910	442
673	910	440
674	911	439
675	912	437
676	913	435
677	914	434
678	915	432
679	916	431
680	916	429
681	918	428
682	919	426
683	920	425
684	921	423
685	922	422
686	923	420
687	923	418
688	924	417
689	925	415
690	926	414
691	927	412
692	928	411
693	929	409
694	929	408
695	930	406
696	931	405
697	933	403
698	934	402
699	935	400
700	936	399
701	937	397
702	938	396
703	939	394
704	940	393
705	941	391
706	941	390
707	942	388
708	943	387
709	944	385
710	945	384
711	946	382
712	947	381
713	948	379
714	949	378
715	950	377
716	951	375
717	952	374
718	953	372
719	954	371
720	954	369
721	955	368
722	956	366
723	957	364
724	958	363
725	959	362
726	960	360
727	961	359
728	962	357
729	963	356
730	964	354
731	964	353
732	965	351
733	966	350
734	967	348
735	968	347
736	969	345
737	970	344
738	971	342
739	971	341
740	972	340
741	973	338
742	974	337
743	975	335
744	977	334
745	978	333
746	979	331
747	980	330
748	981	328
749	982	327
750	983	326
751	984	324
752	985	323
753	986	321
754	988	320
755	989	319
756	990	317
757	991	316
758	993	315
759	994	314
760	995	312
761	997	311
762	1003	311
763	1004	310
764	1005	308
765	1006	307
766	1008	306
767	1009	304
768	1010	303
769	1011	302
770	1012	300
771	1013	299
772	1014	298
773	1015	296
774	1017	295
775	1018	293
776	1019	292
777	1020	291
778	1021	289
779	1022	288
780	1023	287
781	1024	285
782	1026	284
783	1027	282
784	1028	281
785	1029	280
786	1030	278
787	1031	277
788	1032	276
789	1033	274
790	1034	273
791	1036	272
792	1037	270
793	1039	269
794	1040	268
795	1041	266
796	1042	265
797	1043	264
798	1044	262
799	1045	261
800	1046	260
801	1048	258
802	1049	257
803	1050	256
804	1051	254
805	1053	253
806	1054	252
807	1055	250
808	1056	249
809	1057	248
810	1058	246
811	1059	245
812	1060	243
813	1061	242
814	1062	241
815	1063	239
816	1063	238
817	1064	236
818	1066	235
819	1067	234
820	1068	233
821	1069	231
822	1071	230
823	1072	229
824	1073	227
825	1074	226
826	1075	225
827	1077	223
828	1078	222
829	1079	221
830	1080	219
831	1081	218
832	1082	216
833	1083	215
834	1084	214
835	1084	212
836	1085	211
837	1086	210
838	1087	208
839	1088	207
840	1089	205
841	1090	204
842	1090	203
843	1091	201
844	1092	200
845	1093	199
846	1094	197
847	1095	196
848	1097	195
849	1098	193
850	1099	192
851	1100	191
852	1101	189
853	1102	188
854	1103	187
855	1103	185
856	1104	184
857	1105	182
858	1106	181
859	1107	180
860	1108	178
861	1109	177
862	1110	176
863	1111	174
864	1112	173
865	1113	172
866	1114	170
867	1114	169
868	1115	168
869	1116	166
870	1117	165
871	1118	164
872	1119	162
873	1119	161
874	1120	160
875	1121	158
876	1122	157
877	1123	156
878	1124	154
879	1125	153
880	1126	152
881	1127	150
882	1128	149
883	1129	148
884	1130	146
885	1131	145
886	1132	144
887	1132	142
888	1133	141
889	1134	140
890	1135	138
891	1136	137
892	1137	136
893	1138	134
894	1139	133
895	1140	132
896	1141	131
897	1141	129
898	1142	128
899	1143	127
900	1144	125
901	1146	124
902	1147	123
903	1148	121
